Tgl FJB,No FJB,Kode Cust,Kode Unit Motor,Tahun Kendaraan,Kilometer,Jns Service,Kondisi_Oli,Kondisi_Rem,Bulan_Terakhir_Ganti_Oli,KM_Terakhir_Ganti_Oli,Usia_Kendaraan,Jumlah_Keluhan,KM_Per_Tahun,Total_Usage_Score,Kondisi_Oli_Encoded,Kondisi_Rem_Encoded
01-01-2021,FJB/7018/SBY/PL/3064,SBY3750022,LEXI,2021,0,Kupon Gratis I (DUA),Baik,Baik,1,75,0,0,0,0.0,0,0
01-01-2021,FJB/6898/SBY/PL/7960,SBY2466197,NMAX-NEO-S,2018,40153,Repair,Baik,Perlu Penggantian,4,268,3,2,13384,17.0,0,1
01-01-2021,FJB/2743/SBY/PL/5043,SBY9198439,LEXI,2020,6087,Repair,Perlu Ganti,Baik,6,1872,1,1,6087,5.5,2,0
01-01-2021,FJB/2438/SBY/PL/5209,SBY9086092,FREE-GO-S,2020,9583,Repair,Perlu Ganti,Baik,4,2355,1,3,9583,10.5,2,0
02-01-2021,FJB/7344/SBY/PL/3684,SBY3522736,FAZZIO-NEO-HY,2021,0,Repair,Perlu Ganti,Baik,5,2964,0,4,0,8.0,2,0
02-01-2021,FJB/4565/SBY/PL/6181,SBY5156034,FILANO-NEO,2019,14233,Repair,Baik,Perlu Penyetelan,1,525,2,2,7116,10.0,0,2
02-01-2021,FJB/3551/SBY/PL/7502,SBY8917182,XSR 155,2018,32081,Repair,Perlu Ganti,Perlu Penggantian,6,2994,3,3,10693,19.5,2,1
02-01-2021,FJB/9250/SBY/PL/9341,SBY3555228,FREE-GO-S,2018,19692,Repair,Perlu Ganti,Perlu Penggantian,3,2852,3,3,6564,16.5,2,1
02-01-2021,FJB/3422/SBY/PL/1345,SBY5828937,NMAX-NEO-S,2018,33621,Repair,Kritis,Perlu Penggantian,8,1189,3,4,11207,20.0,1,1
02-01-2021,FJB/7462/SBY/PL/3283,SBY7498133,MIO,2021,296,Rutin,Perlu Ganti,Baik,4,2125,0,1,296,3.5,2,0
02-01-2021,FJB/8022/SBY/PL/5859,SBY9535072,MIO,2020,10279,Repair,Kritis,Baik,7,3334,1,3,10279,11.5,1,0
