Tgl FJB,No FJB,Kode Cust,Kode Unit Motor,Tahun Kendaraan,Kilometer,Jns Service,Kondisi_Oli,Kondisi_Rem,Bulan_Terakhir_Ganti_Oli,KM_Terakhir_Ganti_Oli,Usia_Kendaraan,Jumlah_Keluhan,KM_Per_Tahun,Total_Usage_Score,Kondisi_Oli_Score,Kondisi_Rem_Score,Oil_Efficiency,Oil_Change_Urgency
01-01-2021,FJB/9776/SBY/PL/5740,SBY5355893,NMAX-NEO-S,2020,12734,Rutin,Perlu Ganti,Cukup,7,3432,1,3,12734,11.5,2,1,490.2857142857143,1.144
01-01-2021,FJB/3489/SBY/PL/5431,SBY6047077,MIO,2020,9790,Repair,Kritis,Cukup,8,3047,1,3,9790,11.5,3,1,380.875,1.2188
01-01-2021,FJB/6252/SBY/PL/9468,SBY9425702,ALL-NEW-NMAX,2021,2,Rutin,Cukup,Baik,4,2218,0,1,2,3.5,1,0,554.5,0.7393333333333333
01-01-2021,FJB/9622/SBY/PL/6316,SBY4642412,NMAX-NEO-S,2020,14597,Rutin,Cukup,Cukup,5,2846,1,0,14597,7.0,1,1,569.2,0.9486666666666667
01-01-2021,FJB/9852/SBY/PL/4065,SBY7626032,LEXI,2019,16453,Rutin,Cukup,Perlu Penyetelan,5,2795,2,1,8226,10.5,1,2,559.0,0.9982142857142857
01-01-2021,FJB/4469/SBY/PL/7340,SBY8763217,LEXI,2018,30811,Repair,Perlu Ganti,Perlu Penggantian,6,2891,3,4,10270,20.0,2,3,481.8333333333333,1.0325
01-01-2021,FJB/6027/SBY/PL/9475,SBY7121674,MIO,2018,29228,Rutin,Kritis,Perlu Penggantian,7,3572,3,5,9742,22.5,3,3,510.2857142857143,1.4288
02-01-2021,FJB/6384/SBY/PL/5416,SBY3808846,XSR 155,2018,45969,Repair,Cukup,Perlu Penggantian,5,2851,3,3,15323,22.5,1,3,570.2,0.8145714285714286
02-01-2021,FJB/3245/SBY/PL/7169,SBY4076135,XSR 155,2020,11141,Rutin,Baik,Cukup,4,2025,1,0,11141,6.0,0,1,506.25,0.5785714285714286
02-01-2021,FJB/2011/SBY/PL/4728,SBY4802195,ALL-NEW-NMAX,2021,0,Repair,Kritis,Baik,10,5154,0,2,0,8.0,3,0,515.4,1.718
02-01-2021,FJB/5756/SBY/PL/9202,SBY5748906,MIO,2020,7586,Rutin,Cukup,Baik,5,2006,1,0,7586,5.0,1,0,401.2,0.8024
02-01-2021,FJB/3703/SBY/PL/1298,SBY1928321,MIO,2019,18516,Repair,Cukup,Perlu Penyetelan,5,2219,2,0,9258,10.0,1,2,443.8,0.8876
03-01-2021,FJB/2745/SBY/PL/9510,SBY8020121,MIO,2018,21507,Rutin,Cukup,Perlu Penyetelan,4,2178,3,2,7169,15.0,1,2,544.5,0.8712
03-01-2021,FJB/5267/SBY/PL/4375,SBY5675406,ALL-NEW-AEROX,2018,40405,Repair,Cukup,Perlu Penggantian,5,2766,3,1,13468,17.5,1,3,553.2,0.922
03-01-2021,FJB/7005/SBY/PL/4874,SBY5807690,MIO-M3 125,2021,243,Repair,Kritis,Baik,7,3281,0,4,243,9.0,3,0,468.7142857142857,1.3124
03-01-2021,FJB/3575/SBY/PL/9053,SBY7187287,LEXI,2019,14137,Repair,Kritis,Cukup,10,5207,2,3,7068,16.5,3,1,520.7,1.8596428571428572
03-01-2021,FJB/4660/SBY/PL/3806,SBY2200676,ALL-NEW-NMAX,2020,11302,Jual Part,Baik,Cukup,3,1648,1,0,11302,5.0,0,1,549.3333333333334,0.5493333333333333
03-01-2021,FJB/9844/SBY/PL/5902,SBY4579476,LEXI,2019,14133,Repair,Perlu Ganti,Cukup,6,3571,2,1,7066,11.5,2,1,595.1666666666666,1.2753571428571429
03-01-2021,FJB/8126/SBY/PL/7599,SBY2370250,LEXI,2019,15422,Repair,Kritis,Perlu Penyetelan,10,5144,2,5,7711,19.5,3,2,514.4,1.8371428571428572
03-01-2021,FJB/1862/SBY/PL/9700,SBY3948415,MIO,2020,11071,Repair,Kritis,Cukup,7,3626,1,3,11071,11.5,3,1,518.0,1.4504
03-01-2021,FJB/7699/SBY/PL/4299,SBY1509465,XSR 155,2019,23513,Rutin,Cukup,Perlu Penyetelan,4,2923,2,0,11756,11.0,1,2,730.75,0.8351428571428572
03-01-2021,FJB/3715/SBY/PL/6078,SBY4414074,X-MAX-CONNEC,2018,27458,Repair,Cukup,Perlu Penggantian,4,2637,3,2,9152,17.0,1,3,659.25,0.8240625
03-01-2021,FJB/9883/SBY/PL/5079,SBY9019699,NMAX-NEO-S,2021,0,Rutin,Cukup,Baik,4,2569,0,0,0,2.0,1,0,642.25,0.8563333333333333
03-01-2021,FJB/4904/SBY/PL/4498,SBY1808241,FILANO-NEO,2018,35042,Repair,Baik,Perlu Penggantian,4,1612,3,2,11680,17.0,0,3,403.0,0.5757142857142857
03-01-2021,FJB/1647/SBY/PL/8042,SBY1693797,ALL-NEW-NMAX,2019,25005,Repair,Cukup,Perlu Penggantian,4,2129,2,2,12502,14.0,1,3,532.25,0.7096666666666667
04-01-2021,FJB/9565/SBY/PL/2961,SBY6562544,ALL-NEW-NMAX,2019,22627,Rutin,Cukup,Perlu Penyetelan,5,2551,2,3,11313,15.5,1,2,510.2,0.8503333333333334
04-01-2021,FJB/6396/SBY/PL/2470,SBY4645702,XSR 155,2020,15802,Repair,Perlu Ganti,Perlu Penyetelan,6,3291,1,2,15802,11.0,2,2,548.5,0.9402857142857143
